cell,delta_lower,delta_upper,endpoint_real_lower,distance_real_lower,argument_norm_upper
58,0.09242820739746094,0.09402179718017578,0.07250029208476412,0.08988135623998426,0.060668599854857015
59,0.09402179718017578,0.09561538696289062,0.07203868656802238,0.09010520286435754,0.06189355634134267
60,0.09561538696289062,0.09720897674560547,0.07157268233863415,0.09032305983918718,0.0631254674304952
61,0.09720897674560547,0.09880256652832031,0.07110222363751005,0.0905350441603073,0.06436434624698918
62,0.09880256652832031,0.10039615631103516,0.0706272559160847,0.09074128084540477,0.06561020535924236
63,0.10039615631103516,0.10198974609375,0.07014772591034095,0.09094190311653377,0.06686305676640056
64,0.10198974609375,0.10358333587646484,0.0696635817163937,0.0911370525825871,0.0681229118851714
65,0.10358333587646484,0.10517692565917969,0.06917477286761237,0.09132687942148056,0.0693897815365109
66,0.10517692565917969,0.10677051544189453,0.06868125041326638,0.0915115425618986,0.07066367593216065
67,0.10677051544189453,0.10836410522460938,0.06818296699867252,0.09169120986439983,0.0719446046610378
68,0.10836410522460938,0.10995769500732422,0.06767987694681504,0.09186605830162861,0.07323257667548086
69,0.10995769500732422,0.11155128479003906,0.06717193634141622,0.09203627413746841,0.07452760027734942
70,0.11155128479003906,0.1131448745727539,0.06665910311142079,0.09220205310485023,0.07582968310398251
71,0.1131448745727539,0.11473846435546875,0.06614133711686385,0.09236360058202518,0.07713883211401516
72,0.11473846435546875,0.1163320541381836,0.06561860023608317,0.09252113176703015,0.07845505357305575
73,0.1163320541381836,0.11792564392089844,0.06509085645423149,0.09267487185007171,0.0797783530392267
74,0.11792564392089844,0.11951923370361328,0.06455807195305108,0.09282505618362591,0.08110873534856812
75,0.11951923370361328,0.12111282348632812,0.06402021520185386,0.09297193044990797,0.08244620460030942
76,0.12111282348632812,0.12270641326904297,0.06347725704965862,0.09311575082546573,0.08379076414200994
77,0.12270641326904297,0.12430000305175781,0.0629275892835119,0.09325677208460233,0.08514241655457068
78,0.12430000305175781,0.12589359283447266,0.06236948579649074,0.09339525948700624,0.08650116363712022
79,0.12589359283447266,0.1274871826171875,0.06180603526123617,0.09353152566622325,0.08786700639177764
80,0.1274871826171875,0.12908077239990234,0.061237214298048584,0.09366587033443982,0.08923994500829587
81,0.12908077239990234,0.1306743621826172,0.060663002172705996,0.09379860446673048,0.09061997884858565
82,0.1306743621826172,0.13226795196533203,0.06008338088804704,0.09393005044186278,0.09200710643112908
83,0.13226795196533203,0.13386154174804688,0.05949833527617445,0.0940605421779864,0.09340132541527962
84,0.13386154174804688,0.13545513153076172,0.05890785309119572,0.09419042526284581,0.09480263258545638
85,0.13545513153076172,0.13704872131347656,0.05831192510241133,0.09432005707812512,0.09621102383523576
86,0.13704872131347656,0.1386423110961914,0.05771054518786317,0.09444980691758689,0.09762649415134221
87,0.1386423110961914,0.14023590087890625,0.057103710428143266,0.09458005609859084,0.0990490375975454
88,0.14023590087890625,0.1418294906616211,0.056491421200362026,0.0947111980666021,0.10047864729846588
89,0.1418294906616211,0.14342308044433594,0.05587368127217436,0.09484363849232516,0.10191531542329313
90,0.14342308044433594,0.14501667022705078,0.05525049789574607,0.09497779536099724,0.1033590331694239
91,0.14501667022705078,0.14661026000976562,0.054621881901548146,0.09511409905345332,0.10480979074602272
92,0.14661026000976562,0.14820384979248047,0.053987847791861505,0.09525299241856656,0.10626757735750907
93,0.14820384979248047,0.1497974395751953,0.05334841383385884,0.09539493083657112,0.10773238118698038
94,0.1497974395751953,0.15139102935791016,0.05270360215213812,0.09554038227287348,0.10920418937957145
95,0.15139102935791016,0.152984619140625,0.052053438820570494,0.09568982732189978,0.11068298802575957
